"Rec No","Transid","Translinkid","Transextcode","Transintid","Transcodetype"
2,1,1,"452            ",6,"PORT           "
3,2,1,"452            ",4,"PORT           "
4,3,1,"452            ",10,"PORT           "
5,4,1,"36             ",4,"PACKAGE        "
6,5,1,"69             ",13,"PACKAGE        "
7,6,1,"05             ",1,"PACKAGE        "
8,7,1,"52             ",11,"PACKAGE        "
9,8,1,"455            ",2,"PORT           "
10,9,1,"4112           ",28,"PACKAGE        "
