"Rec No","Chrgitmid","Chrgitmcode","Chrgitmname","Chrgitmbasis","Chrgitmbasis1","Chrgitmbasis2","Chrgitmotherbasis1","Chrgitmotherbasis2","Chrgitmoperator","Chrgitmrate","Chrgitmchargeprofile","Chrgitmchargeprofileselect","Chrgitmprofileusage","Chrgitmrateprofile","Chrgitmrateprofileselect","Chrgitmperfactor","Chrgitmperperiod","Chrgitmdivisor","Chrgitmdivisor1","Chrgitmdivisor2","Chrgitmround","Chrgitmround1","Chrgitmround2","Chrgitmbasisunit","Chrgitmbasis1unit","Chrgitmbasis2unit","Chrgitmfixedamt","Chrgitmminimumvalue","Chrgitmmaximumvalue","Chrgitmignorecurrency","Chrgitmcurrency","Chrgitmdebitglaccountid","Chrgitmcreditglaccountid","Chrgitmimportprepaidflag","Chrgitmexportprepaidflag","Chrnitmimportfcllclflag","Commodity","Package","Individual"
30,20,"VD        ","VALIDATION & DOC                        ","Fixed               ","                    ","                    ",0,0,"Non",685.75,0,"                    ","                    ",0,"                    ",1,"None ","0.0000","0.0000","0.0000","    ","None","    ","          ","          ","          ",0.0,"0.00","0.00",0,1,0,0,"          ","          ","          ",0,0,0
31,21,"LD        ","LIFTING & DOC                           ","Fixed               ","                    ","                    ",0,0,"Non",362.5,0,"                    ","                    ",0,"                    ",1,"None ","0.0000","0.0000","0.0000","    ","None","    ","          ","          ","          ",0.0,"0.00","0.00",0,1,0,0,"          ","          ","          ",0,0,0
32,22,"VDA       ","VALIDATION DOC. & AGENCY FEE            ","Fixed               ","                    ","                    ",0,0,"Non",962.5,0,"                    ","                    ",0,"                    ",1,"None ","0.0000","0.0000","0.0000","    ","None","    ","          ","          ","          ",0.0,"0.00","0.00",0,1,0,0,"          ","          ","          ",0,0,0
41,27,"DA        ","Documents & Agency Fee                  ","Fixed               ","                    ","                    ",0,0,"Non",362.5,0,"                    ","                    ",0,"                    ",1,"None ","0.0000","0.0000","0.0000","    ","None","    ","          ","          ","          ",0.0,"0.00","0.00",0,1,0,0,"          ","          ","          ",0,0,0
42,28,"PRE       ","PRE-CLEARANCE                           ","Fixed               ","                    ","                    ",0,0,"Non",1500.0,0,"                    ","                    ",0,"                    ",1,"None ","0.0000","0.0000","0.0000","    ","None","    ","          ","          ","          ",0.0,"0.00","0.00",0,1,0,0,"          ","          ","          ",0,0,0
43,29,"CPF       ","Custom Processing Fee                   ","Fixed               ","                    ","                    ",0,0,"Non",0.0,0,"                    ","                    ",0,"                    ",1,"None ","0.0000","0.0000","0.0000","    ","None","    ","          ","          ","          ",0.0,"0.00","0.00",0,1,0,0,"          ","          ","          ",0,0,0
44,30,"ADD       ","Addition Door To Door Charges           ","Fixed               ","                    ","                    ",0,0,"Non",0.0,0,"                    ","                    ",0,"                    ",1,"None ","0.0000","0.0000","0.0000","    ","None","    ","          ","          ","          ",0.0,"0.00","0.00",0,1,0,0,"          ","          ","          ",0,0,0
45,31,"HGT       ","Handling & G.C.T                        ","Fixed               ","                    ","                    ",0,0,"Non",0.0,0,"                    ","                    ",0,"                    ",1,"None ","0.0000","0.0000","0.0000","    ","None","    ","          ","          ","          ",0.0,"0.00","0.00",0,1,0,0,"          ","          ","          ",0,0,0
46,32,"HVG       ","Handling Validation & G.C.T             ","Fixed               ","                    ","                    ",0,0,"Non",0.0,0,"                    ","                    ",0,"                    ",1,"None ","0.0000","0.0000","0.0000","    ","None","    ","          ","          ","          ",0.0,"0.00","0.00",0,1,0,0,"          ","          ","          ",0,0,0
47,33,"AFD       ","Agency Fee & Documents                  ","Fixed               ","                    ","                    ",0,0,"Non",0.0,0,"                    ","                    ",0,"                    ",1,"None ","0.0000","0.0000","0.0000","    ","None","    ","          ","          ","          ",0.0,"0.00","0.00",0,1,0,0,"          ","          ","          ",0,0,0
51,34,"TH        ","HOW CAN WE COMPENSATE YOU FOR YOUR      ","Fixed               ","                    ","                    ",0,0,"Non",1.0,0,"                    ","                    ",0,"                    ",1,"None ","0.0000","0.0000","0.0000","    ","None","    ","          ","          ","          ",0.0,"0.00","0.00",0,1,0,0,"          ","          ","          ",0,0,0
52,35,"TO        ","TOLERANCE WE WILL NOT CHARGE YOU        ","Fixed               ","                    ","                    ",0,0,"Non",1.0,0,"                    ","                    ",0,"                    ",1,"None ","0.0000","0.0000","0.0000","    ","None","    ","          ","          ","          ",0.0,"0.00","0.00",0,1,0,0,"          ","          ","          ",0,0,0
53,36,"THA       ","THANKS A TRILLION                       ","Fixed               ","                    ","                    ",0,0,"Non",1.0,0,"                    ","                    ",0,"                    ",1,"None ","0.0000","0.0000","0.0000","    ","None","    ","          ","          ","          ",0.0,"0.00","0.00",0,1,0,0,"          ","          ","          ",0,0,0
54,37,"GPT       ","Whafage, Strip., PDC, & GCT             ","Fixed               ","                    ","                    ",0,0,"Non",0.0,0,"                    ","                    ",0,"                    ",1,"None ","0.0000","0.0000","0.0000","    ","None","    ","          ","          ","          ",0.0,"0.00","0.00",0,1,0,0,"          ","          ","          ",0,0,0
57,38,"KWST      ","KINGSTON WHARVE STORAGE                 ","Fixed               ","                    ","                    ",0,0,"Non",0.0,0,"                    ","                    ",0,"                    ",1,"None ","0.0000","0.0000","0.0000","    ","None","    ","          ","          ","          ",0.0,"0.00","0.00",0,1,0,0,"          ","          ","          ",0,0,0
58,39,"ACD       ","ADDITIONAL CUSTOMS DUTY                 ","Fixed               ","                    ","                    ",0,0,"Non",0.0,0,"                    ","                    ",0,"                    ",1,"None ","0.0000","0.0000","0.0000","    ","None","    ","          ","          ","          ",0.0,"0.00","0.00",0,1,0,0,"          ","          ","          ",0,0,0
59,40,"          ","WHARFAGE, HANDLING, STRIPPING           ","Fixed               ","                    ","                    ",0,0,"Non",1250.0,0,"                    ","                    ",0,"                    ",1,"None ","0.0000","0.0000","0.0000","    ","None","    ","          ","          ","          ",0.0,"0.00","0.00",0,1,0,0,"          ","          ","          ",0,0,0
61,41,"GPS       ","WHARFAGE, HANDLING, & SECURITY          ","Fixed               ","                    ","                    ",0,0,"Non",1250.0,0,"                    ","                    ",0,"                    ",1,"None ","0.0000","0.0000","0.0000","    ","None","    ","          ","          ","          ",0.0,"0.00","0.00",0,1,0,0,"          ","          ","          ",0,0,0
62,42,"SE        ","SECURITY                                ","Fixed               ","                    ","                    ",0,0,"Non",291.25,0,"                    ","                    ",0,"                    ",1,"None ","0.0000","0.0000","0.0000","    ","None","    ","          ","          ","          ",0.0,"0.00","0.00",0,1,0,0,"          ","          ","          ",0,0,0
67,43,"CLRC      ","CLAREANCE & COLLECT                     ","Fixed               ","                    ","                    ",0,0,"Non",0.0,0,"                    ","                    ",0,"                    ",1,"None ","0.0000","0.0000","0.0000","    ","None","    ","          ","          ","          ",0.0,"0.00","0.00",0,1,0,0,"          ","          ","          ",0,0,0
68,44,"ADLW      ","ADL WAREHOUSE CHRGS.                    ","Fixed               ","                    ","                    ",0,0,"Non",0.0,0,"                    ","                    ",0,"                    ",1,"None ","0.0000","0.0000","0.0000","    ","None","    ","          ","          ","          ",0.0,"0.00","0.00",0,1,0,0,"          ","          ","          ",0,0,0
69,45,"WH        ","ADL Wharehouse Free                     ","Fixed               ","                    ","                    ",0,0,"Non",0.0,0,"                    ","                    ",0,"                    ",1,"None ","0.0000","0.0000","0.0000","    ","None","    ","          ","          ","          ",0.0,"0.00","0.00",0,1,0,0,"          ","          ","          ",0,0,0
70,46,"CP        ","BALANCE PAYMENT FOR FREIGHT ON CONTAINER","Fixed               ","                    ","                    ",0,0,"Non",0.0,0,"                    ","                    ",0,"                    ",1,"None ","0.0000","0.0000","0.0000","    ","None","    ","          ","          ","          ",0.0,"0.00","0.00",0,1,0,0,"          ","          ","          ",0,0,0
71,47,"TRANS     ","TRANSPORTATION                          ","Fixed               ","                    ","                    ",0,0,"Non",0.0,0,"                    ","                    ",0,"                    ",1,"None ","0.0000","0.0000","0.0000","    ","None","    ","          ","          ","          ",0.0,"0.00","0.00",0,1,0,0,"          ","          ","          ",0,0,0
72,48,"DEL       ","DELIVERY                                ","Fixed               ","                    ","                    ",0,0,"Non",0.0,0,"                    ","                    ",0,"                    ",1,"None ","0.0000","0.0000","0.0000","    ","None","    ","          ","          ","          ",0.0,"0.00","0.00",0,1,0,0,"          ","          ","          ",0,0,0
73,49,"STR       ","STORAGE                                 ","Fixed               ","                    ","                    ",0,0,"Non",0.0,0,"                    ","                    ",0,"                    ",1,"None ","0.0000","0.0000","0.0000","    ","None","    ","          ","          ","          ",0.0,"0.00","0.00",0,1,0,0,"          ","          ","          ",0,0,0
74,50,"ALL CHARGE","C/DUTY, TRANSP., CLEAR., WHFG. STPG., ET","Fixed               ","                    ","                    ",0,0,"Non",0.0,0,"                    ","                    ",0,"                    ",1,"None ","0.0000","0.0000","0.0000","    ","None","    ","          ","          ","          ",0.0,"0.00","0.00",0,1,0,0,"          ","          ","          ",0,0,0
