"Rec No","Shrptvgeptr","Shrptvessel","Shrptada","Shrptvoynoarr","Shrptlastport","Shrptoriginport","Shrptnextport","Shrptstodate","Stripped","Strippeddate"
2937,2429,198,78515,"PJ  NEW SHIPMENT    ",0,0,0,0,1,0
2938,2430,198,78515,"SIMPSONS NEW        ",0,0,0,0,1,0
2939,2431,198,78514,"MAID SIMPSON        ",0,0,0,0,1,0
2940,2432,230,78522,"PJ SHIPPING NEW ONE ",0,0,0,0,1,0
2941,2433,227,78512,"WEST ONE SHIPPING   ",0,0,0,0,1,0
2942,2434,227,78512,"BRITLINK CARGO      ",0,0,0,0,1,0
2943,2435,224,78519,"CARIBBEAN INTL      ",0,0,0,0,1,0
2944,2436,220,78519,"TURO CARIBBEAN      ",0,0,0,0,0,0
2945,2437,230,78522,"MORGANS SHIPPING    ",0,0,0,0,1,0
2949,2438,220,78519,"PAULS WELL NEW      ",0,0,0,0,0,0
2950,2439,210,78487,"SIMPSONS            ",0,0,0,0,1,0
2951,2440,227,78512,"BRITLINK WELL NEW   ",0,0,0,0,1,0
2952,2441,220,78519,"BANK PAULS          ",0,0,0,0,1,0
2953,2442,198,78515,"UFF                 ",0,0,0,0,1,0
2955,2443,64,78520,"RUE DELA            ",0,0,0,0,1,0
2956,2444,198,78515,"PICHUP SIMPSON      ",0,0,0,0,1,0
2957,2445,230,78522,"VDG                 ",0,0,0,0,1,0
2958,2446,220,78519,"PAULS               ",0,0,0,0,1,0
2959,2447,14,78521,"MRG                 ",0,0,0,0,1,0
2960,2448,197,78527,"SETS                ",0,0,0,0,1,0
2961,2449,171,78525,"SIX PACK            ",0,0,0,0,1,0
2962,2450,197,78527,"PAINTS              ",0,0,0,0,1,0
2963,2451,210,78529,"OFFON               ",0,0,0,0,1,0
2964,2452,210,78529,"MORGANS SHIPPING    ",0,0,0,0,1,0
2965,2453,226,78534,"CARIB CARGO         ",0,0,0,0,1,0
2966,2454,220,78534,"JAN PAULS           ",0,0,0,0,1,0
2967,2455,198,78536,"SIMPSONS SHIPP      ",0,0,0,0,1,0
2968,2456,228,78534,"RACING CARS         ",0,0,0,0,1,0
2969,2457,230,78543,"PJ SHIPPING         ",0,0,0,0,1,0
2971,2458,228,78534,"ISLAND TO ISLAND    ",0,0,0,0,1,0
2972,2459,228,78534,"NORTHAMPTON         ",0,0,0,0,1,0
2973,2460,171,78525,"EM CORFU            ",0,0,0,0,1,0
2974,2461,197,78540,"day beautiful       ",0,0,0,0,1,0
2975,2462,128,78546,"CARIB INT\'L         ",0,0,0,0,1,0
2976,2463,216,78547,"VIBE UP WEST ONE    ",0,0,0,0,1,0
2977,2464,176,78543,"AHIPP NEW           ",0,0,0,0,1,0
2979,2465,230,78543,"MORGANS INTL 9      ",0,0,0,0,1,0
2980,2466,176,78543,"ISLAND TO ISLAND    ",0,0,0,0,1,0
2982,2467,29,78556,"SIMPSONS            ",0,0,0,0,0,0
2983,2468,210,78550,"SIMPSON\'S SHIPPING  ",0,0,0,0,1,0
2984,2469,220,78547,"PC301               ",0,0,0,0,1,0
2985,2470,210,78550,"CONSUME             ",0,0,0,0,1,0
2986,2471,166,78548,"WOW                 ",0,0,0,0,1,0
2987,2472,220,78547,"PAULS SHIPPING      ",0,0,0,0,1,0
2988,2473,220,78547,"TRUMPET             ",0,0,0,0,1,0
2989,2474,231,78550,"WRITTEN             ",0,0,0,0,1,0
2991,2475,228,78534,"GEE                 ",0,0,0,0,1,0
2992,2476,197,78554,"CARIBBEAN INT;96    ",0,0,0,0,1,0
2993,2477,64,78555,"CARGO               ",0,0,0,0,0,0
2994,2478,197,78554,"ENTRY PAUL          ",0,0,0,0,1,0
2996,2479,198,78557,"PJ                  ",0,0,0,0,1,0
2997,2480,232,78581,"ISLAND TO ISLAND    ",0,0,0,0,1,0
2998,2481,185,78567,"CAPSLOCK            ",0,0,0,0,0,0
2999,2482,171,78567,"SWEET JESUS         ",0,0,0,0,1,0
3000,2483,29,78558,"SPLASH              ",0,0,0,0,0,0
3001,2484,197,78554,"carib int\'l         ",0,0,0,0,1,0
3002,2485,185,78196,"SPICE PAUL          ",0,0,0,0,0,0
3003,2486,220,78561,"PAUL\'S SHIPPIN      ",0,0,0,0,1,0
3004,2487,230,78564,"SIMPSON             ",0,0,0,0,1,0
3005,2488,230,78564,"MORGANS FOR FEB     ",0,0,0,0,1,0
3006,2489,220,78561,"CARIBBEAN INT\'L     ",0,0,0,0,1,0
3007,2490,210,78571,"SIMPSON\'S FOR FEB   ",0,0,0,0,1,0
3008,2491,197,78568,"ANGELS              ",0,0,0,0,1,0
3009,2492,197,78568,"CARIBBEAN INTL      ",0,0,0,0,1,0
3010,2493,224,78568,"CANDLELIGHT         ",0,0,0,0,1,0
3011,2494,13,78583,"F10                 ",0,0,0,0,1,0
3012,2495,171,78567,"PROPHECY            ",0,0,0,0,1,0
3013,2496,171,78567,"DWELL PAVILION      ",0,0,0,0,1,0
3014,2497,171,78567,"TILE                ",0,0,0,0,1,0
3015,2498,171,78567,"OVER WATER          ",0,0,0,0,1,0
3016,2499,210,78571," PJ\'S SHIPPING      ",0,0,0,0,1,0
3017,2500,211,78576,"CHARITY             ",0,0,0,0,1,0
3018,2501,56,78581,"FRIENDLOVES         ",0,0,0,0,1,0
3019,2502,185,78582,"SIMPSON SHIPP       ",0,0,0,0,0,0
3020,2503,230,78586,"PJ NEW              ",0,0,0,0,1,0
3021,2504,228,78574,"WESTONE             ",0,0,0,0,1,0
3022,2505,19,78592,"SYDNEYS NEW         ",0,0,0,0,1,0
3023,2506,220,78575,"PAUL SHIPPING       ",0,0,0,0,1,0
3024,2507,228,78574,"091EUS              ",0,0,0,0,1,0
3025,2508,220,78575,"PAULS SEP           ",0,0,0,0,1,0
3026,2509,230,78585,"MORGANS             ",0,0,0,0,1,0
3027,2510,197,78582,"PAULS               ",0,0,0,0,1,0
3028,2511,197,78582,"CARIBBEAN           ",0,0,0,0,1,0
3029,2512,197,78582,"PAUL S PASTE        ",0,0,0,0,1,0
3030,2513,232,78581,"GEES                ",0,0,0,0,1,0
3032,2514,232,78581,"S&S                 ",0,0,0,0,1,0
3034,2515,232,78583,"JABEZ BRITLINK      ",0,0,0,0,1,0
3035,2516,224,78589,"CARIBBEAN CARGO     ",0,0,0,0,1,0
3036,2517,19,78592,"SIMPSON NEW         ",0,0,0,0,1,0
3037,2518,220,78589,"PAUL\'S              ",0,0,0,0,1,0
3038,2519,220,78589,"V50                 ",0,0,0,0,1,0
3039,2520,232,78588,"CARIBBEAN EXPRESS   ",0,0,0,0,1,0
3040,2521,233,78588,"CARIBBEAN EXPRESS   ",0,0,0,0,1,0
3041,2522,233,78588,"BRITLINK CARGO      ",0,0,0,0,1,0
3042,2523,233,78588,"WEST ONE            ",0,0,0,0,1,0
3043,2524,227,78595,"WEST ONE SHIPPING   ",0,0,0,0,1,0
3044,2525,210,78592,"MORGANS             ",0,0,0,0,1,0
3045,2526,234,78604,"S&S SHIPPING        ",0,0,0,0,1,0
3046,2527,210,78592,"SIMPSON             ",0,0,0,0,1,0
3047,2528,198,78599,"MORGANS             ",0,0,0,0,1,0
3048,2529,197,78596,"PAULS               ",0,0,0,0,1,0
3049,2530,198,78599,"PJ                  ",0,0,0,0,1,0
3050,2531,185,78597,"PJ                  ",0,0,0,0,0,0
3051,2532,197,78596,"CARIBB INT\'L        ",0,0,0,0,1,0
3052,2533,198,78599,"SIMPSON             ",0,0,0,0,1,0
3053,2534,227,78595,"BRITLINK            ",0,0,0,0,1,0
3054,2535,77,78602,"BRITLINK            ",0,0,0,0,1,0
3055,2536,56,78604,"MARCH MADNESS       ",0,0,0,0,1,0
3056,2537,77,78602,"ISLANDTO ISLAN      ",0,0,0,0,1,0
3057,2538,77,78602,"CARIBEAN EXPRESS    ",0,0,0,0,1,0
3058,2539,77,78602,"WEST ONE            ",0,0,0,0,1,0
3059,2540,220,78603,"CARIBBEAN INTL      ",0,0,0,0,1,0
3060,2541,230,78606,"SIMPSON             ",0,0,0,0,1,0
3061,2542,230,78606,"UNITED SIMPSON      ",0,0,0,0,1,0
3062,2543,56,78604,"CARIB CARGO         ",0,0,0,0,1,0
3063,2544,220,78603,"PAUL S              ",0,0,0,0,1,0
3064,2545,197,78611,"PAUL SHH            ",0,0,0,0,1,0
3065,2546,197,78611,"CARIBBEAN INT\'L     ",0,0,0,0,1,0
3067,2547,197,78611,"EASTER CARIB INT\'L  ",0,0,0,0,1,78613
3068,2548,230,78606,"CARIBBEAN CARGO     ",0,0,0,0,1,0
3069,2549,171,78610,"BRITLINK CARGO MARCH",0,0,0,0,1,0
3070,2550,171,78610,"GEE\'SHIPPING        ",0,0,0,0,1,0
3071,2551,171,78610,"CARIBBEAN EXPRESS   ",0,0,0,0,1,0
3072,2552,171,78610,"WEST ONE            ",0,0,0,0,1,0
3073,2553,210,78613,"MORGAN              ",0,0,0,0,1,0
3074,2554,228,78616,"GEE SHIPP           ",0,0,0,0,1,0
3075,2555,198,78620,"PJNEEWS             ",0,0,0,0,1,0
3076,2556,220,78617,"CARIB INT\'L  EAST II",0,0,0,0,1,0
3077,2557,220,78617,"PAULS SHIPPING EAST ",0,0,0,0,1,0
3078,2558,228,78616,"BRITLINK CARGO      ",0,0,0,0,1,0
3080,2559,228,78616,"CARIB EXPRESS       ",0,0,0,0,1,0
3081,2560,210,78634,"STANLEY SHIP / BRITL",0,0,0,0,1,0
3082,2561,233,78630,"WEST ONE SHIP       ",0,0,0,0,1,0
3083,2562,232,78623,"WEST ONE NEW        ",0,0,0,0,1,0
3084,2563,228,78616,"GEE\'S SHIPPING      ",0,0,0,0,1,0
3085,2564,197,0,"                    ",0,0,0,0,0,0
3086,2565,185,78627,"SIMPSON\'S APRIL     ",0,0,0,0,0,0
3087,2566,232,78623,"BRITLINK CARGO      ",0,0,0,0,1,0
3088,2567,197,78625,"PAUL SHIPPING       ",0,0,0,0,1,0
3089,2568,197,78625,"CARIB INT\'L         ",0,0,0,0,1,0
3090,2569,197,78625,"PAUL  SHIPP MEW     ",0,0,0,0,1,0
3091,2570,198,78620,"SIMPSON             ",0,0,0,0,1,0
3092,2571,235,78625,"SIMPSON\'S           ",0,0,0,0,1,0
3093,2572,28,78625,"SYDNEYS SHIPPING    ",0,0,0,0,1,0
3094,2573,220,78631,"PARTY               ",0,0,0,0,1,0
3095,2574,226,78632,"CASIO CARIBBEAN     ",0,0,0,0,1,0
3096,2575,220,78631,"VISION CARIBBEAN    ",0,0,0,0,1,0
3097,2576,210,78634,"UNITED FREIGHT      ",0,0,0,0,1,0
3098,2577,233,78630,"ISLAND TO ISLAND    ",0,0,0,0,1,0
3099,2578,198,78641,"COCACOLA PJ         ",0,0,0,0,1,0
3100,2579,197,78639,"PAULS               ",0,0,0,0,1,0
3101,2580,128,78639,"SYDNEYS NEW         ",0,0,0,0,1,0
3102,2581,227,78637,"BRITLINK APRIL      ",0,0,0,0,1,0
3103,2582,236,78644,"WEST WAS ONE        ",0,0,0,0,1,0
3104,2583,197,78639,"CARIBB INT\'L        ",0,0,0,0,1,0
3105,2584,198,78641,"MORGANS 888         ",0,0,0,0,1,0
3106,2585,198,78641,"UFF SIMPSON         ",0,0,0,0,1,0
3107,2586,198,78641,"PJ\'S SHIPPING ONE   ",0,0,0,0,1,0
3108,2587,220,78646,"PAULS NEW           ",0,0,0,0,1,0
3109,2588,220,78646,"CARIBBEAN INT\'L     ",0,0,0,0,1,0
3110,2589,227,78637,"CARIBBEAN EXPRESS 10",0,0,0,0,1,0
3111,2590,236,78644,"CARIBBEAN EXPRESS 10",0,0,0,0,1,0
3112,2591,230,78649,"MORGANS APL         ",0,0,0,0,1,0
3113,2592,230,78649,"SIMPSON\'S APL       ",0,0,0,0,1,0
3114,2593,236,78644,"GEE 1023            ",0,0,0,0,1,0
3116,2594,236,78644,"BRITLINK CARGO      ",0,0,0,0,1,0
3117,2595,197,78653,"PAUL SHIPPING VO5   ",0,0,0,0,1,0
3118,2596,237,78650,"BRITLINK CARGO      ",0,0,0,0,1,0
3119,2597,171,78652,"WEST ONE LEROY      ",0,0,0,0,1,0
3120,2598,228,78658,"WESTON BRIDGE       ",0,0,0,0,1,0
3121,2599,228,78658,"CARIBBEAN EXPRESS   ",0,0,0,0,1,0
3122,2600,238,78653,"CARGO BEEP          ",0,0,0,0,1,0
3124,2601,197,78653,"CARIB INT\'L         ",0,0,0,0,1,0
3125,2602,13,78660,"MORGAN              ",0,0,0,0,0,0
3126,2603,198,78662,"PJ\'S SHIPPING       ",0,0,0,0,1,0
3127,2604,228,78658,"GEES SHIPPIN 115    ",0,0,0,0,1,0
3128,2605,220,78660,"PAUL SHIPPING       ",0,0,0,0,1,0
3130,2606,210,78655,"SIMPSON\'S SHIPPIN 17",0,0,0,0,1,0
3131,2607,220,78660,"CARIBBEAN INTL MOVIN",0,0,0,0,1,0
3132,2608,239,78660,"CARIB INTL JAXKIN   ",0,0,0,0,1,0
3133,2609,228,78658,"ISLAND TO ISLAND    ",0,0,0,0,1,0
3134,2610,198,78662,"PJ SHIPPING MAY     ",0,0,0,0,1,0
3135,2611,232,78665,"BRITLINK CARGO      ",0,0,0,0,1,0
3136,2612,197,78667,"PAULS KIDS          ",0,0,0,0,1,0
3137,2613,230,78669,"MORGANS NEW         ",0,0,0,0,1,0
3138,2614,197,78667,"CARIB INT\'L         ",0,0,0,0,1,0
3139,2615,232,78665,"WEST ONE FORT       ",0,0,0,0,1,0
3140,2616,233,78672,"WEST 1 LOVE         ",0,0,0,0,1,0
3141,2617,230,78669,"SIMPSON HAPPY       ",0,0,0,0,1,0
3142,2618,237,78664,"BRITLINK CARGO 023  ",0,0,0,0,1,0
3143,2619,207,78672,"S& S SHIPPING       ",0,0,0,0,1,0
3144,2620,236,78685,"ISLAND TO ISLAND PAL",0,0,0,0,1,0
3145,2621,210,78676,"PJ SHIPPING MAY DAY ",0,0,0,0,1,0
3146,2622,240,78673,"CARIBBEAN CARGO     ",0,0,0,0,1,0
3147,2623,220,78674,"CARIB INT\'L         ",0,0,0,0,1,0
3148,2624,220,78674,"PAUL SHIPP EXIT     ",0,0,0,0,1,0
3149,2625,233,78672,"ISLAND TO ISLAND    ",0,0,0,0,1,0
3150,2626,19,78674,"SIMPSON\'S           ",0,0,0,0,1,0
3151,2627,220,78674,"CARIB INT\'L         ",0,0,0,0,1,0
3152,2628,233,78672,"CARIBB XPRESS       ",0,0,0,0,1,0
3153,2629,241,78671,"BRITLINK CARGO      ",0,0,0,0,1,0
3154,2630,197,78681,"PAUL SHIPPING POW   ",0,0,0,0,1,0
3155,2631,198,78683,"MORGAN SHIPPING     ",0,0,0,0,1,0
3156,2632,227,78679,"GEE SHIPPING        ",0,0,0,0,1,0
3157,2633,185,78683,"WEST ONE SHIPP      ",0,0,0,0,0,0
3158,2634,236,78685,"ISLANDTO ISLAND     ",0,0,0,0,1,0
3159,2635,171,78693,"ISLAND TO ISLAND    ",0,0,0,0,1,0
3160,2636,197,78677,"PAUL N SHIP         ",0,0,0,0,1,0
3161,2637,197,78681,"CARIBB INTL UP      ",0,0,0,0,1,0
3162,2638,197,78681,"CARIBBEAN SHIPP TLC ",0,0,0,0,1,0
3163,2639,227,78679,"BRITLINK            ",0,0,0,0,1,0
3164,2640,236,78685,"BRITLINK CARGO      ",0,0,0,0,1,0
3166,2641,236,78685,"WEST ONE            ",0,0,0,0,1,0
3167,2642,220,78688,"CARIB INT\'L         ",0,0,0,0,1,0
3168,2643,236,78685,"CARIB XPRESS/123EUS ",0,0,0,0,1,0
3169,2644,220,78688,"PAIL SHIPPING       ",0,0,0,0,1,0
3170,2645,238,78688,"CARIBBEANCARGO      ",0,0,0,0,1,0
3171,2646,230,78690,"MORGAN              ",0,0,0,0,1,0
3172,2647,230,78690,"SIMPSON SHIPPING    ",0,0,0,0,1,0
3173,2648,197,78695,"PAULS SHIPPING      ",0,0,0,0,1,0
3174,2649,197,78695,"CARIBBEAN SHIPPING  ",0,0,0,0,1,0
3175,2650,171,78693,"GEE SHIPPING        ",0,0,0,0,1,0
3176,2651,228,78700,"WEST ONE1256        ",0,0,0,0,1,0
3177,2652,138,78695,"MORGAN              ",0,0,0,0,0,0
3178,2653,28,78702,"LONNNN              ",0,0,0,0,0,0
3179,2654,244,78683,"S&S SHIPPING        ",0,0,0,0,0,0
3180,2655,236,78685,"S&S SHIPPING        ",0,0,0,0,1,0
3186,2656,210,78697,"MORGANS SHIPPING    ",0,0,0,0,1,0
3188,2657,210,78697,"PJ SHIPPING         ",0,0,0,0,1,0
3189,2658,233,78724,"BRITLINK CARGO      ",0,0,0,0,1,0
3195,2659,220,78702,"PAUL SHIPPING 123000",0,0,0,0,1,0
3197,2660,230,78711,"MORGAN S LOVE       ",0,0,0,0,1,0
3198,2661,28,78702,"MORGAN SHIPPING     ",0,0,0,0,0,0
3200,2662,28,78702,"UNITED FREIGHTSIMPSO",0,0,0,0,1,0
3201,2663,220,78780,"PAULS SHIPPING      ",0,0,0,0,1,0
3204,2664,210,78697,"SIMPSON\'S           ",0,0,0,0,1,0
3211,2665,128,78709,"PJ SHIP BREAK       ",0,0,0,0,1,0
3212,2666,228,78700,"BRITLINK CARGOHUGGES",0,0,0,0,1,0
3214,2667,228,78700,"CARIBBEAN CLORO     ",0,0,0,0,1,0
3215,2668,228,78700,"GEE\'S SHIPPING      ",0,0,0,0,1,0
3216,2669,228,78700,"ISLAND TO ISLAND    ",0,0,0,0,1,0
3218,2670,112,78704,"BRITLINK CARGO      ",0,0,0,0,0,0
3219,2671,56,78709,"CARIBBEAN SHIPPING  ",0,0,0,0,1,0
3223,2672,197,78709,"PAUL S HH           ",0,0,0,0,1,0
3224,2673,128,78709,"CARIBBEAN CARGO     ",0,0,0,0,1,0
3226,2674,232,78707,"GEE\'S SHIPPING      ",0,0,0,0,1,0
3228,2675,232,78707,"ISLAND TO ISLAND    ",0,0,0,0,1,0
3230,2676,197,78709,"CARIBBEAN INT\'L     ",0,0,0,0,1,0
3231,2677,210,78718,"MORGANS SHIPPING    ",0,0,0,0,1,0
3232,2678,220,78716,"PAUL\'S SHIPPING     ",0,0,0,0,1,0
3237,2679,210,78718,"SIMPSON\'S           ",0,0,0,0,1,0
3238,2680,29,78719,"SIMPSON\'S           ",0,0,0,0,0,0
3239,2681,29,78719,"SYDNEY SHIPPING     ",0,0,0,0,0,0
3240,2682,220,78716,"CARIBBEAN INT\'L SHIP",0,0,0,0,1,0
3243,2683,233,78714,"ISLAND TO ISLAND    ",0,0,0,0,1,0
3244,2684,233,78714,"GEES                ",0,0,0,0,1,0
3248,2685,210,78718,"MORGAN SHIPPING     ",0,0,0,0,1,0
3249,2686,233,78714,"ISLAND TO ISLAND    ",0,0,0,0,1,0
3251,2687,227,78721,"BRITLINK CARGO      ",0,0,0,0,1,0
3252,2688,210,78718,"PJ SHIPPING         ",0,0,0,0,1,0
3253,2689,197,78723,"CARIBBEAN INT\'L     ",0,0,0,0,1,0
3256,2690,220,78716,"PAULS SHIPPING      ",0,0,0,0,1,0
3262,2691,197,78723,"PAULS SHIPPING      ",0,0,0,0,1,0
3263,2692,198,78725,"PJ SHIPPINGS        ",0,0,0,0,1,0
3264,2693,198,78725,"PJ\'S SHIPPINGS      ",0,0,0,0,1,0
3265,2694,227,78721,"WEST ONE SHIPPING   ",0,0,0,0,1,0
3266,2695,227,78721,"GEES SHIPPING       ",0,0,0,0,1,0
3267,2696,227,78721,"ISLAND TO ISLAND    ",0,0,0,0,1,0
3268,2697,245,78731,"SIMPSON             ",0,0,0,0,1,0
3269,2698,236,78728,"CARIBBEAN EXPRESS   ",0,0,0,0,1,0
3270,2699,236,78728,"ISLAND TO ISLAND    ",0,0,0,0,1,0
3273,2700,220,78730,"CARIBBEAN INT\'L     ",0,0,0,0,1,0
3274,2701,230,78733,"MORGANS SHIPPING    ",0,0,0,0,1,0
3275,2702,236,78728,"S&S SHIPPING        ",0,0,0,0,1,0
3276,2703,220,78730,"PAUL\'S SHIPPING     ",0,0,0,0,1,0
3281,2704,245,78731,"CARIBBEAN CARGO     ",0,0,0,0,1,0
3283,2706,220,78730,"PAUL\'S SHIPPING     ",0,0,0,0,1,0
3284,2707,230,78733,"UNITED FREIGHT SHIPP",0,0,0,0,1,0
3285,2708,171,78735,"WEST ONE SHIPPING   ",0,0,0,0,1,0
3286,2709,171,78735,"WEST ONE SHIPPING   ",0,0,0,0,1,0
3287,2710,197,78737,"CARIBBEAN INTL      ",0,0,0,0,1,0
3288,2711,210,78739,"PJ SHIPPING         ",0,0,0,0,1,0
3289,2712,197,78737,"CARIBBEAN INT\'L     ",0,0,0,0,1,0
3290,2713,226,78737,"CARIBBEAN CARGO     ",0,0,0,0,1,0
3291,2714,171,78735,"CARIBEAN EXPRESS    ",0,0,0,0,1,0
3292,2715,171,78735,"GEE\'S SHIPPING      ",0,0,0,0,1,0
3293,2716,210,78739,"MORGANS SHIPPING    ",0,0,0,0,1,0
3295,2717,197,78737,"PAUL\'S SHIPPING     ",0,0,0,0,1,0
3296,2718,13,78739,"SYDNEYS SHIPPING    ",0,0,0,0,0,0
3297,2719,210,78739,"MORGANS INT\'L       ",0,0,0,0,1,0
3300,2721,171,78735,"BRITLINK CARGO      ",0,0,0,0,1,0
3302,2722,220,78744,"PAULS SHIPPING      ",0,0,0,0,1,0
3303,2723,58,80198,"JACK                ",0,0,0,0,0,0
3304,2724,247,78746,"MORGANS INT\'L       ",0,0,0,0,1,0
3305,2725,239,78744,"CARIBBEAN CARGO     ",0,0,0,0,1,0
3306,2726,247,78746,"UNITED FREIGHT SHIPP",0,0,0,0,1,0
3308,2727,220,78744,"CARIBBEAN INTL      ",0,0,0,0,1,0
3309,2728,246,78746,"MORGAN              ",0,0,0,0,0,0
3311,2729,171,78735,"S&S                 ",0,0,0,0,1,0
3318,2730,197,78751,"PAUL\'S SHIPPING     ",0,0,0,0,1,0
3321,2731,248,78742,"CARIBBEAN EXPRESS   ",0,0,0,0,1,0
3322,2732,249,78746,"UNITED FREIGHT SHIPP",0,0,0,0,0,0
3326,2733,248,78742,"WEST ONE SHIPPING   ",0,0,0,0,1,0
3327,2734,248,78751,"WEST ONE SHIPPING   ",0,0,0,0,1,0
3328,2735,248,78742,"WEST ONE SHIPPING   ",0,0,0,0,1,0
3330,2736,248,78742,"ISLAND TO ISLAND    ",0,0,0,0,1,0
3341,2737,232,78749,"WEST ONE SHIPPING   ",0,0,0,0,1,0
3342,2738,197,78751,"CARIBBEAN INTL SHIPP",0,0,0,0,1,0
3343,2739,232,78507,"LLB ONM             ",0,0,0,0,1,0
3344,2740,232,78749,"caribbean express   ",0,0,0,0,1,0
3345,2741,230,78753,"MORGANS INTL        ",0,0,0,0,1,0
3346,2742,210,78760,"MORGANS INTL        ",0,0,0,0,1,0
3347,2743,248,78742,"S&S                 ",0,0,0,0,1,0
3348,2744,233,78756,"WEST ONE SHIPPING   ",0,0,0,0,1,0
3349,2745,235,78758,"CARIBBIAN CARGO     ",0,0,0,0,1,0
3350,2746,76,78770,"ISLAND TO ISLAND SHI",0,0,0,0,1,0
3351,2747,232,78749,"ISLAND TO ISLAND    ",0,0,0,0,1,0
3352,2748,233,78757,"ISLAND TO ISLAND    ",0,0,0,0,1,0
3356,2749,14,78759,"SIMPSON SHIPPING    ",0,0,0,0,1,0
3359,2750,220,78758,"PAULS SHIPPING      ",0,0,0,0,1,0
3361,2752,250,78758,"CARIBBEAN CARGO     ",0,0,0,0,0,0
3363,2753,210,78760,"SIMPSON SHIPPING    ",0,0,0,0,1,0
3365,2754,220,78758,"CARIBBEAN INTL      ",0,0,0,0,1,0
3366,2755,210,78760,"UNITED FREIGHT SHIP ",0,0,0,0,1,0
3367,2756,210,0,"                    ",0,0,0,0,0,0
3368,2757,233,78756,"CARIBBEAN EXPRESS   ",0,0,0,0,1,0
3369,2758,210,78760,"PJ SHIPPING         ",0,0,0,0,1,0
3370,2759,210,78760,"PJ SHIPPING         ",0,0,0,0,1,0
3374,2760,197,78765,"CARIBBEAN INTL      ",0,0,0,0,1,0
3375,2761,197,78765,"PAUL\'S SHIPPING     ",0,0,0,0,1,0
3377,2762,227,78763,"CARIBBEAN EXPRESS   ",0,0,0,0,1,0
3378,2763,37,78766,"SYDNEY SHIPPING     ",0,0,0,0,1,0
3379,2764,236,78770,"ISLAND TO ISLAND    ",0,0,0,0,1,0
3380,2765,227,78763,"island to island    ",0,0,0,0,1,0
3381,2766,247,78767,"MORGANS SHIPPING    ",0,0,0,0,1,0
3382,2767,247,78767,"SIMPSON             ",0,0,0,0,1,0
3383,2768,247,78767,"UNITED FREIGH       ",0,0,0,0,1,0
3384,2769,227,78763,"WEST ONE SHIPPING   ",0,0,0,0,1,0
3385,2770,251,78774,"PJ SHIPPING         ",0,0,0,0,1,0
3386,2771,247,78767,"MORGANS             ",0,0,0,0,1,0
3387,2772,37,78766,"SYDNEY SHIPPING     ",0,0,0,0,1,0
3388,2773,220,78772,"PAUL\'S SHIPPING     ",0,0,0,0,1,0
3389,2774,220,78772,"CARIBBEAN INT       ",0,0,0,0,1,0
3390,2775,252,78772,"CARIBBEAN CARGO     ",0,0,0,0,1,0
3392,2776,236,78770,"GEE\'S SHIPPING      ",0,0,0,0,1,0
3393,2777,236,78770,"WEST ONE SHIPPING   ",0,0,0,0,1,0
3394,2778,171,0,"                    ",0,0,0,0,0,0
3395,2779,171,78777,"WEST ONE            ",0,0,0,0,1,0
3396,2780,251,78774,"SIMPSON             ",0,0,0,0,1,0
3398,2781,251,78774,"MORGANS SHIPPING    ",0,0,0,0,1,0
3401,2782,197,78779,"PAULS SHIPPING      ",0,0,0,0,1,0
3402,2783,197,78779,"CARIBBEAN  INT\'L SHI",0,0,0,0,1,0
3403,2784,251,78774,"P.J. SHIPPING       ",0,0,0,0,1,0
3406,2785,251,78774,"P.J. SHIPPING       ",0,0,0,0,1,0
3407,2786,235,78786,"CARIBBEAN CARGO     ",0,0,0,0,1,0
3408,2787,254,78788,"MORGAN\'S            ",0,0,0,0,1,0
3409,2788,171,78777,"WEST ONE            ",0,0,0,0,1,0
3410,2789,171,78777,"ISLAND/ISLAND       ",0,0,0,0,1,0
3411,2790,28,78780,"SIMPSON SHIPPING    ",0,0,0,0,0,0
3412,2791,210,78781,"SIMPSON             ",0,0,0,0,1,0
3414,2792,171,78777,"GEE;S               ",0,0,0,0,1,0
3416,2793,248,78784,"ISLANDTO ISLAND     ",0,0,0,0,1,0
3417,2794,248,78784,"GEE SHIPPING        ",0,0,0,0,1,0
3418,2795,253,78788,"MORGAN \'S           ",0,0,0,0,1,0
3419,2796,247,78788,"PJ SHIPPING         ",0,0,0,0,1,0
3422,2798,220,78786,"PAUL\'S SHIPPING     ",0,0,0,0,1,0
3423,2799,123,78788,"SYDNEYS SHIPPING    ",0,0,0,0,1,0
3424,2800,197,78793,"CARIBBEAN INTL      ",0,0,0,0,1,0
3425,2801,226,78793,"CARIBBEAN INT\'L SHIP",0,0,0,0,1,0
3426,2802,239,78793,"CARIBBEAN CARGO     ",0,0,0,0,1,0
3427,2803,23,78794,"SIMPSON             ",0,0,0,0,1,0
3428,2804,232,78791,"ISLAND TO ISLAND    ",0,0,0,0,1,0
3429,2805,248,78784,"CARIBBEAN EXPRESS   ",0,0,0,0,1,0
3430,2806,197,78793,"PAULS SHIPPING      ",0,0,0,0,1,0
3431,2807,251,78795,"MORGAN\'S            ",0,0,0,0,1,0
3432,2808,255,78795,"SIMPSON             ",0,0,0,0,0,0
3433,2809,220,78800,"caribbean           ",0,0,0,0,1,0
3434,2810,220,78800,"PAUL\'S SHIPPING     ",0,0,0,0,1,0
3436,2811,252,78814,"WEST ONE            ",0,0,0,0,1,0
