"Rec No","Voyconid","Voyconvgeptr","Voyconcontainer","Voyconportorigin"
590,0,2183,"SEFU4504052    ",0
591,0,2184,"BSIU9042508    ",0
592,0,2185,"SEFU4503117    ",0
593,0,2186,"ZCSU8909813    ",0
594,0,2187,"ZCSU8909813    ",0
595,0,2188,"TCLU8574338    ",0
596,0,2189,"SEFU4503117    ",0
597,0,2190,"TGHU8312091    ",0
598,0,2191,"CMAU5166745    ",0
599,0,2192,"UESU5264051    ",0
600,0,2193,"FSCU9643645    ",0
601,0,2194,"SMLU8308609    ",0
602,0,2195,"CAIU2179392    ",0
603,0,2196,"TGHU9285149    ",0
604,0,2197,"TGHU8312091    ",0
605,0,2198,"TGHU9285149    ",0
606,0,2199,"SMLU8305045    ",0
607,0,2200,"SEFU4504005    ",0
608,0,2201,"CLHU3760159    ",0
609,0,2202,"SEFU4504005    ",0
610,0,2203,"FSCU6502788    ",0
611,0,2204,"GESU5961263    ",0
612,0,2205,"SMLU7832740    ",0
616,0,2207,"SEFU4209653    ",0
617,0,2208,"SMLU7905338    ",0
618,0,2209,"TGHU8665885    ",0
619,0,2210,"GVCU5262850    ",0
620,0,2211,"SMLU7821941    ",0
621,0,2212,"SEFU4500078    ",0
622,0,2213,"SEFU4210628    ",0
623,0,2214,"SMLU7828503    ",0
624,0,2215,"SMLU7862658    ",0
625,0,2216,"SEFU4504366    ",0
626,0,2217,"SMLU7892890    ",0
627,0,2218,"AMFU8553583    ",0
628,0,2219,"SMLU7826590    ",0
629,0,2220,"FCIU9197035    ",0
630,0,2221,"CMAU5717940    ",0
631,0,2222,"TGHU8038740    ",0
632,0,2223,"FSCU989357     ",0
633,0,2224,"CMAU5717940    ",0
634,0,2225,"SMLU7860608    ",0
635,0,2226,"SEFU4208718    ",0
636,0,2227,"TCNU4858605    ",0
637,0,2228,"SEFU4208718    ",0
638,0,2229,"SMLU7872872    ",0
639,0,2230,"SEFU4500191    ",0
640,0,2231,"SMLU4153933    ",0
641,0,2232,"TCNU4858605    ",0
642,0,2233,"SMLU7825090    ",0
643,0,2234,"BSIU9767990    ",0
644,0,2235,"ECMU9387449    ",0
645,0,2236,"HLXU6534073    ",0
646,0,2237,"SMLU7859736    ",0
647,0,2238,"TCNU5329186    ",0
648,0,2239,"TGHU0690264    ",0
649,0,2240,"UESU5134356    ",0
650,0,2241,"SEFU4505640    ",0
652,0,2242,"TCLU6574880    ",0
653,0,2243,"GESU6939726    ",0
654,0,2244,"GLDU7275593    ",0
655,0,2245,"SMLU7827699    ",0
656,0,2246,"GESU6939726    ",0
657,0,2247,"SEFU4503457    ",0
658,0,2248,"SMLU7844546    ",0
659,0,2249,"CMAU0704909    ",0
660,0,2250,"5643760        ",0
661,0,2251," TCNU993248    ",0
662,0,2252,"CMAU4165282    ",0
663,0,2253,"CRXU9089830    ",0
664,0,2254,"SMLU2570545    ",0
665,0,2255,"ZCSU8509252    ",0
666,0,2256,"SMLU7892837    ",0
667,0,2257,"SMLU7829433    ",0
668,0,2258,"SMLU7901311    ",0
669,0,2259,"SMLU7829433    ",0
670,0,2260,"SEFU4501201    ",0
671,0,2261,"CAIU8104174    ",0
672,0,2262,"SMLU2564012    ",0
673,0,2263,"GESU6842530    ",0
674,0,2264,"TCNU4869575    ",0
675,0,2265,"CAIU8104174    ",0
676,0,2266,"SMLU7852433    ",0
677,0,2267,"TGHU8838131    ",0
678,0,2268,"HLXU8364417    ",0
679,0,2269,"GESU5487513    ",0
681,0,2270,"TGHU8534294    ",0
682,0,2271,"SEFU4202448    ",0
683,0,2272,"FCIU8506227    ",0
684,0,2273,"SMLU8313570    ",0
685,0,2274,"TCNU9936465    ",0
686,0,2275,"FCIU8537090    ",0
687,0,2276,"SMLU7968614    ",0
688,0,2277,"CMAU5998494    ",0
689,0,2278,"TCNU4869575    ",0
690,0,2279,"SMLU7883250    ",0
691,0,2280,"SMLU7866484    ",0
692,0,2281,"FCIU8506227    ",0
693,0,2282,"TGHU8852382    ",0
694,0,2283,"FCIU8398781    ",0
695,0,2284,"FSCU6237196    ",0
696,0,2285,"GESU5661163    ",0
697,0,2286,"SMLU7839853    ",0
698,0,2287,"TRHU3228570    ",0
699,0,2288,"SMLU7840284    ",0
700,0,2289,"SMLU8333788    ",0
701,0,2290,"SEFU4204414    ",0
703,0,2291,"ZCSU8216655    ",0
704,0,2292,"HLBU1358966    ",0
705,0,2293,"SMLU7868656    ",0
706,0,2294,"SMLU7841531    ",0
707,0,2295,"TRLU7280549    ",0
708,0,2296,"HLXU6475392    ",0
709,0,2297,"ZIMU1443825    ",0
710,0,2298,"SMLU7910334    ",0
711,0,2299,"FSCU9912410    ",0
712,0,2300,"GLDU7420942    ",0
713,0,2301,"FSCU9816170    ",0
714,0,2302,"ZCSU7051421    ",0
715,0,2303,"HLXU3522401    ",0
716,0,2304,"TGHU6253929    ",0
717,0,2305,"TGHU6253929    ",0
718,0,2306,"CRSU1069495    ",0
719,0,2307,"CAXU3286904    ",0
720,0,2308,"ZCSU8975040    ",0
721,0,2309,"SMLU7869098    ",0
722,0,2310,"SEFU4503098    ",0
723,0,2311,"SMLU7821073    ",0
724,0,2312,"SEFU4204369    ",0
725,0,2313,"FCIU8907575    ",0
726,0,2314,"TGHU8590718    ",0
727,0,2315,"GESU4802992    ",0
728,0,2316,"SMLU7835400    ",0
729,0,2317,"SEFU4210090    ",0
730,0,2318,"FCIU8907575    ",0
731,0,2319,"CAXU8180598    ",0
733,0,2320,"SEFU4505444    ",0
734,0,2321,"GESU3918611    ",0
735,0,2322,"GESU3918611    ",0
736,0,2323,"SMLU7865195    ",0
737,0,2324,"ZCSU8542604    ",0
738,0,2325,"GESU6386317    ",0
739,0,2326,"GESU6386317    ",0
740,0,2327,"GLDU5275969    ",0
741,0,2328,"ZCSU880041     ",0
742,0,2329,"SEFU4209191    ",0
743,0,2330,"SMLU7834002    ",0
744,0,2331,"AMFU8920979    ",0
745,0,2332,"SEFU4505070    ",0
