"Rec No","Packid","Packprincipal","Packcode","Packdescription"
2,1,0,"BA        ","BARREL              "
5,4,0,"CR        ","CRATE               "
6,5,0,"PX        ","PALLET              "
11,10,0,"SI        ","SKID                "
14,13,0,"BX        ","BOX                 "
22,18,0,"BI        ","BIN                 "
26,22,0,"SC        ","SUIT CASE           "
27,23,0,"PK        ","PACKAGE             "
29,25,0,"BG        ","BAG                 "
30,26,0,"PI        ","PAIL                "
